{A1}

(article)
    0. (1076) 3T *#PT a [æ/eɪ] (article) {A1} indefinite - a/an; (letter) A b c d
              3T *#  an [æn] (article) {A1} indefinite - a/an
   32. (  1) 3T *#PT always [ˈɔlˌweɪz/ˈɔlwiz] (adv) {A1} всегда, постоянно
   58. (  1) 3T *#PT away [əˈweɪ] (adv) {A1} далеко, {B2} {sports: ball and racket sports} прочь, вон
   60. (  2) 3T *#PT back [bæk] (adv) {A1} назад, {A2} обратно; (n) защитник, {A1} {body} спина; (adj) {A2} задний, обратный; (v) {B2} {business} {money} поддерживать
  238. (  2) 3T *#PT early [ˈɜːli] (adv) {A1} рано; (adj) {A1} {time} ранний
  253. (  3) 3T *#PT enough [ɪˈnʌf/əˈnʌf] (adv) {A1} достаточно, довольно; (n) достаточное количество; (adj)(determiner) {A1} достаточный
  255. (  1) 3T *#PT even [ˈiːvən] (adv) {A1} даже, ровно, точно, как раз; (v) выровнять, выравнивать; (adj) {B2} ровный, четный
  258. (  1) 3T *#PT ever [ˈɛvər] (adv) {A1} всегда, только, когда-либо
  279. (  1) 3T *#PT far [fɑː] (adv) {A1} далеко, {B1} {time} гораздо, намного, I:far-further-(the)furthest; (adj) {B1} дальний I:far-further-(the)furthest; (v) содействовать
  282. (  2) 3T *#PT fast [(UK)fɑːst/(US)fæst] (adv) {A1} быстро, скоро, крепко; (adj) {A1} быстрый; (v) {C2} {religion and festivals} поститься, голодать; (n) {C2} {religion and festivals} {cooking and eating} пост
  321. (  1) 3T *#PT free [fri] (adv) {A2} бесплатно, свободно, даром; (adj) {A1} {A2} {money} {shopping} бесплатный; (v) {B2} освобождать; (n) выходной
  372. (  1) 3T *#PT here [hɪə] (adv)(excl) {A1} здесь, сюда, тут
  375. (  1) 3T *#PT high [haɪ] (adj) {A1} высокий, большой; (n) {B2} максимум; (adv) {A2} высоко
  390. (  1) 3T *#PT how [haʊ] (adv) {A1} как
  436. (  1) 3T *#PT later [ˈleɪtə] (adv) {A1} позже, потом; (adj) {A2} {time} последний, поздний
  457. (  2) 3T *#PT long [lɒŋ] (adj) {A1} {appearance} длинный; (adv) {A1} долго
  517. (  3) 3T *#PT near [nɪə] (prep) {A1} возле, {B1} {time} около, у, близ; (adv) {A1} недалеко, около, поблизости, почти; (adj) {A1} {B2} {family and relationships} близкий; (v) приближаться
  534. (  3) 3T *#PT north [nɔːθ] (n) {A1} {geography} север; (adj) {A1} {weather} {geography} северный; (adv) {A1} на север, к северу
  540. (  1) 3T *#PT now [naʊ] (adv) {A1} сейчас; (conj) {B1} раз, когда
  546. (  2) 4T *#PT off [ɒf] (adj) выключенный, дальний, свободный; (prep) {A1} от, с, у; (adv) {A1} {A2} {working life} выключено, вон; (v) прекращать
  553. (  1) 3T *#PT once [wʌns] (adv) {A1} раз, один раз, однажды, когда-то; (n) один раз; (conj) {B1} как только; (adj) прежний
  556. (  2) 3T *#PT only [ˈəʊnli] (adv) {A1} всего, только, лишь, исключительно; (conj) только; (adj) {A1} единственный
  559. (  4) 3T *#PT opposite [ˈɒpəzɪt] (adv) {A1} напротив; (adj) {A1} напротив, противоположный, обратный; (prep) {A1} напротив, против, на; (n) противоположность
  566. (  1) 3T *#PT outside [ˌaʊtˈsaɪd] (adv) {A1} вне, снаружи, наружу; (prep) {A2} вне, за пределами; (adj) {A2} внешний, наружный; (n) {A2} внешность, {B2} {transport by car or lorry} наружная сторона, внешний мир
  567. (  2) 4T *#PT over [ˈəʊvə] (prep) {A1} над, за, свыше, через, в течение, поверх; (adv) {A1} свыше, сверх
  623. (  2) 3T *#PT pretty [ˈprɪti] (adv) {A1} довольно, достаточно, вполне; (adj) {A1} {appearance} хорошенький, прелестный
  
(n)
    8. (  1) 3T *#PT action [ˈækʃ(ə)n] (n) {A1} {B2} {history} {war and conflict} {film and theatre} действие, {B2} {law and justice} акция, деятельность
